(647, '1485732207876612097', '1326366156173824000', '$LUNA', datetime.datetime(2022, 1, 24, 21, 52, 16))
(648, '1485425637401759744', '1326366156173824000', '$LUNA', datetime.datetime(2022, 1, 24, 1, 34, 4))
(1976, '1485607666114347011', '1323334073453023233', '$OXD', datetime.datetime(2022, 1, 24, 13, 37, 23))
(650, '1485848162178899968', '972970759416111104', '$ada', datetime.datetime(2022, 1, 25, 5, 33, 2))
(29, '1485669242527617026', '1473381803566059521', '$atom', datetime.datetime(2022, 1, 24, 17, 42, 4))
(30, '1484568235408171008', '1473381803566059521', '$fuse', datetime.datetime(2022, 1, 21, 16, 47, 3))
(31, '1483876288947392513', '1473381803566059521', '$fuse', datetime.datetime(2022, 1, 19, 18, 57, 31))
(32, '1483860776330797061', '1473381803566059521', '$fuse', datetime.datetime(2022, 1, 19, 17, 55, 52))
(33, '1485602882934255617', '1383066492581855235', '$JUNO', datetime.datetime(2022, 1, 24, 13, 18, 23))
(35, '1483816777108754432', '1144092879020859393', '$MAGIC', datetime.datetime(2022, 1, 19, 15, 1, 2))
(37, '1484928936152756224', '1421343920542257163', '$ZIP', datetime.datetime(2022, 1, 22, 16, 40, 21))
(38, '1483624788396445696', '1421343920542257163', '$SAND', datetime.datetime(2022, 1, 19, 2, 18, 8))
(39, '1483580253494603776', '1421343920542257163', '$PRETEEN', datetime.datetime(2022, 1, 18, 23, 21, 10))
(40, '1483579764619239424', '1421343920542257163', '$PETE', datetime.datetime(2022, 1, 18, 23, 19, 14))
(41, '1483503722256683009', '1421343920542257163', '$FEMBOY', datetime.datetime(2022, 1, 18, 18, 17, 4))
(42, '1483437276847738880', '1421343920542257163', '$JEWEL', datetime.datetime(2022, 1, 18, 13, 53, 2))
(43, '1483429139637936136', '1421343920542257163', '$XMON', datetime.datetime(2022, 1, 18, 13, 20, 42))
(44, '1485571579371483141', '1468754740880510978', '$LUNA', datetime.datetime(2022, 1, 24, 11, 13, 59))
(46, '1484879815232536578', '1395470237902905344', '$one', datetime.datetime(2022, 1, 22, 13, 25, 10))
(48, '1483856782032318467', '1182591601593454592', '$GEL', datetime.datetime(2022, 1, 19, 17, 40))
(49, '1485511054843170818', '817817720221794305', '$BTC', datetime.datetime(2022, 1, 24, 7, 13, 29))
(51, '1485841738497343490', '1427557319500472325', '$LOOKS', datetime.datetime(2022, 1, 25, 5, 7, 30))
(53, '1485803936237948928', '1436531858733469704', '$POKT', datetime.datetime(2022, 1, 25, 2, 37, 17))
(54, '1485465461861101571', '1436531858733469704', '$POKT', datetime.datetime(2022, 1, 24, 4, 12, 19))
(55, '1485121572662820866', '1436531858733469704', '$POKT', datetime.datetime(2022, 1, 23, 5, 25, 49))
(56, '1484746623611777024', '1436531858733469704', '$POKT', datetime.datetime(2022, 1, 22, 4, 35, 54))
(57, '1484359662279348227', '1436531858733469704', '$POKT', datetime.datetime(2022, 1, 21, 2, 58, 16))
(58, '1484018043382603780', '1436531858733469704', '$POKT', datetime.datetime(2022, 1, 20, 4, 20, 47))
(59, '1483623257794392064', '1436531858733469704', '$POKT', datetime.datetime(2022, 1, 19, 2, 12, 3))
(60, '1485556777819074562', '1234043353521520641', '$POKT', datetime.datetime(2022, 1, 24, 10, 15, 10))
(61, '1485174815627485186', '1234043353521520641', '$POKT', datetime.datetime(2022, 1, 23, 8, 57, 23))
